repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
28,no-pause-80,open_loop,80,4096,4095,81.92,17.584458322584396,59.70241959440682,99.06719748233081,132.19549651928537,true
28,no-pause-80,closed_loop,80,3956,3955,79.12,9.953621027423651,21.499448599402967,27.589271555814776,41.79354071656235,true
29,no-pause-80,open_loop,80,4113,4110,82.26,17.60396699249395,58.68505108457248,84.66947282693582,115.43603068449738,true
29,no-pause-80,closed_loop,80,3951,3950,79.02,10.34978559013689,21.593230603939446,28.9281061399779,41.12570675355528,true
30,no-pause-80,open_loop,80,4092,4091,81.84,18.15396749931824,63.298403812492325,97.49086879414244,126.39034869120223,true
30,no-pause-80,closed_loop,80,3955,3954,79.1,10.225369991516345,21.163657758828776,27.01393247839951,58.059344474409954,true
31,no-pause-80,open_loop,80,3939,3936,78.78,16.624421782034915,52.17319204063824,74.01366471750225,92.10861287947773,true
31,no-pause-80,closed_loop,80,3954,3953,79.08,10.102481233836443,21.569686738599557,29.60000252516329,47.777602385254795,true
32,no-pause-80,open_loop,80,4076,4070,81.52,16.220989668792754,50.802962127952924,72.70677690111552,133.92019079507736,true
32,no-pause-80,closed_loop,80,3952,3949,79.04,10.284169589387602,21.243475527451665,27.81041870117224,41.45331413757958,true
33,no-pause-80,open_loop,80,3986,3982,79.72,17.52262451545539,60.40693247942181,103.8007470277953,168.86943035860895,false
33,no-pause-80,closed_loop,80,3958,3957,79.16,10.021494089683983,20.54858170051739,28.497879455295333,49.85524834909302,true
34,no-pause-80,open_loop,80,3972,3970,79.44,17.399416097223366,59.09479669888242,86.39063033339335,137.5990316278694,true
34,no-pause-80,closed_loop,80,3960,3958,79.2,9.916978301507697,20.858849275376997,27.907105909325765,39.202694879466435,true
35,no-pause-80,open_loop,80,4010,4008,80.2,15.990810893650632,56.66358434593349,89.06812144838477,118.7237295408122,true
35,no-pause-80,closed_loop,80,3952,3951,79.04,10.20610557650798,21.242165296018356,27.479439042650483,46.15630610583139,true
36,no-pause-80,open_loop,80,4011,4009,80.22,17.25649628983956,58.94036311501986,89.56922053500602,128.9664296618139,true
36,no-pause-80,closed_loop,80,3959,3959,79.18,10.034631563496077,20.494599900477624,26.820374798575358,37.77494531720731,true
37,no-pause-80,open_loop,80,3899,3897,77.98,16.678744828865092,55.239674162570736,83.14267045319139,120.66854159229115,true
37,no-pause-80,closed_loop,80,3953,3952,79.06,10.188686764100567,21.641628741104796,28.86200661435214,48.06980419279353,true
38,no-pause-80,open_loop,80,3909,3908,78.18,16.17625916171164,53.040311534612556,77.41543914682188,105.00372500219237,true
38,no-pause-80,closed_loop,80,3962,3962,79.24,10.046560584858526,19.976134780426946,25.26050719916384,39.07590407972384,true
39,no-pause-80,open_loop,80,3964,3964,79.28,16.809098126694153,47.43841241156042,65.21186788977502,93.3055914023571,true
39,no-pause-80,closed_loop,80,3958,3957,79.16,10.020844258975558,20.917881758023213,28.58828479155636,46.17161336085701,true
40,no-pause-80,open_loop,80,4082,4080,81.64,17.846762508706888,59.45669050596189,82.85070576315411,113.47887343861657,true
40,no-pause-80,closed_loop,80,3957,3956,79.14,10.104060065379599,21.149851806098013,29.357252676705684,38.972557536224485,true
41,no-pause-80,open_loop,80,4022,4020,80.44,17.333566510227683,57.23839031864918,74.3784481873954,92.01953696669807,true
41,no-pause-80,closed_loop,80,3958,3957,79.16,10.148080325438059,20.719299971293367,26.408951334084122,41.46451900587272,true
42,no-pause-80,open_loop,80,3960,3958,79.2,16.60167519067545,53.97995308430836,72.48754070481664,100.81729182740673,true
42,no-pause-80,closed_loop,80,3956,3955,79.12,10.026429827157699,21.1760953125995,29.31558871278139,41.9259971349602,true
43,no-pause-80,open_loop,80,3969,3968,79.38,16.32427140519212,61.45277509131847,87.18767446836864,114.06255887245061,true
43,no-pause-80,closed_loop,80,3957,3956,79.14,9.92715577603667,21.54560030479115,30.822703251065832,43.609962485934375,true
44,no-pause-80,open_loop,80,4061,4061,81.22,17.62522533244919,56.888810101623676,92.84457298889538,130.01404027405806,true
44,no-pause-80,closed_loop,80,3957,3956,79.14,9.97759061641409,21.03848352376008,28.366364569490543,45.48443122236495,true
45,no-pause-80,open_loop,80,3937,3935,78.74,15.996915121428174,53.536294283898314,72.10241189762746,94.94947202878393,true
45,no-pause-80,closed_loop,80,3950,3950,79,10.34791651705018,21.691173833802168,29.081625451006403,51.666474853733234,true
46,no-pause-80,open_loop,80,4033,4032,80.66,17.01005848510613,57.14608551931815,106.13963400068315,145.9402306655902,false
46,no-pause-80,closed_loop,80,3957,3957,79.14,10.017272218154176,21.100781495249976,27.30322299834006,42.14481045387947,true
47,no-pause-80,open_loop,80,4115,4114,82.3,17.01022044297133,54.34907533456135,80.25987074602017,125.61944527460582,true
47,no-pause-80,closed_loop,80,3953,3951,79.06,10.206733232071201,21.383427066328295,29.5188809441388,42.604776119704184,true
