repeat,scenario,mode,offered_rps,issued_requests,completed_by_window_end,achieved_rps,p50_ms,p95_ms,p99_ms,max_ms,slo_pass
12,no-pause-80,closed_loop,80,3957,3957,79.14,10.026772118482768,21.36130670842249,28.611434909638774,40.65273623642497,true
13,no-pause-80,open_loop,80,4000,3999,80,9.02736231918243,16.755704678096663,20.737169002659357,27.899354331915674,true
13,no-pause-80,closed_loop,80,3955,3954,79.1,10.052752787327336,21.61588418842075,28.02266494210926,40.91768625834811,true
14,no-pause-80,open_loop,80,4000,3999,80,8.995482422542409,16.909514639959525,22.979239862470422,38.72830275455635,true
14,no-pause-80,closed_loop,80,3954,3954,79.08,10.03564939795433,21.794826111574366,31.9119546435104,44.37023951307856,true
15,no-pause-80,open_loop,80,4000,3999,80,8.955687191883044,16.743610746932973,21.67723240412306,37.67725075047565,true
15,no-pause-80,closed_loop,80,3959,3958,79.18,10.0579881356025,20.41011186823016,26.983244775743515,38.399553566239774,true
16,no-pause-80,open_loop,80,4000,3999,80,8.933354439039249,16.868446145454072,22.017442683769332,29.678222594484396,true
16,no-pause-80,closed_loop,80,3954,3954,79.08,10.131699126184685,21.587953139227466,31.801406761213002,52.40002038795501,true
17,no-pause-80,open_loop,80,4000,3999,80,8.954175935119565,17.07546413892851,21.3799481720489,38.36733804267351,true
17,no-pause-80,closed_loop,80,3957,3957,79.14,9.991990517999511,21.387169939400337,28.659953164387844,44.75675051428698,true
18,no-pause-80,open_loop,80,4000,3999,80,8.926438768910884,16.75847491519926,22.205807463375095,33.68940551972628,true
18,no-pause-80,closed_loop,80,3955,3954,79.1,10.186423686631315,21.667929018778523,29.3843927854723,48.24957355265724,true
19,no-pause-80,open_loop,80,4000,3999,80,8.93661121423429,16.485742385961203,21.285589797516877,37.79977046964632,true
19,no-pause-80,closed_loop,80,3957,3955,79.14,9.993327205927926,21.04609576245639,29.75064393403227,45.60944068636309,true
20,no-pause-80,open_loop,80,4000,4000,80,8.841389966532006,17.132228774236864,22.280897594071575,30.30777044911156,true
20,no-pause-80,closed_loop,80,3955,3954,79.1,10.177947363416024,21.519900239243725,28.348231484564167,42.02457163681538,true
21,no-pause-80,open_loop,80,4000,3999,80,8.826175694688573,16.48052736523823,21.244528906627238,31.250388325097447,true
21,no-pause-80,closed_loop,80,3952,3951,79.04,10.258159907272784,21.52565556989066,29.360767191348714,43.20460852981341,true
22,no-pause-80,open_loop,80,4000,3999,80,8.907325612477507,16.467723134839616,21.61617545675108,29.471853048264165,true
22,no-pause-80,closed_loop,80,3947,3947,78.94,10.385885618168686,22.343583168931218,29.71716948156609,56.50609479003833,true
23,no-pause-80,open_loop,80,4000,3999,80,8.941966401478567,16.58358308174502,21.559664971849998,32.23993158752273,true
23,no-pause-80,closed_loop,80,3957,3955,79.14,10.24846693634754,20.72496047274035,26.166944965756556,34.39924296357458,true
24,no-pause-80,open_loop,80,4000,3999,80,9.005685939613613,16.789594949761522,22.305077314573282,34.68500318783845,true
24,no-pause-80,closed_loop,80,3953,3952,79.06,10.117697263194714,21.51098217850813,28.262578658373968,45.5831334808463,true
25,no-pause-80,open_loop,80,4000,4000,80,8.845863269954862,16.435074953304138,21.621112967739464,30.377601422751468,true
25,no-pause-80,closed_loop,80,3958,3958,79.16,10.02950334356865,20.364924909055844,27.497667754942086,38.829959877140936,true
26,no-pause-80,open_loop,80,4000,3999,80,8.851811619004366,16.70321316949412,21.563694410004246,40.80458457682835,true
26,no-pause-80,closed_loop,80,3959,3958,79.18,10.124548967894953,20.434299730133716,25.465305923913547,33.99000685965075,true
