scenario,repeat,policy,allCoverage,allMeanWidth,routineCoverage,routineMeanWidth,criticalCoverage,criticalMeanWidth,coverageGap,criticalCount
exchangeable_rare_noisy,39,mondrian,0.9008333333333334,1.8175481889887186,0.9013924161485244,1.6742605130542572,0.8898450946643718,4.633730583992929,0.011547321484152606,581
exchangeable_rare_noisy,39,max_slice,0.9946666666666667,4.633730583992067,1,4.633730583992093,0.8898450946643718,4.633730583992929,0.11015490533562822,581
exchangeable_rare_noisy,39,oracle_normalized,0.8999166666666667,1.8250993507810342,0.8990279358963131,1.6639714488204072,0.9173838209982789,4.991914346460818,-0.01835588510196573,581
exchangeable_rare_noisy,40,pooled,0.9001666666666667,1.7824370404122631,0.9267499120647203,1.7824370404122594,0.41878980891719747,1.7824370404120258,0.5079601031475229,628
exchangeable_rare_noisy,40,pooled_95,0.9566666666666667,2.2781476488369843,0.9802145620823074,2.278147648836925,0.5302547770700637,2.278147648836461,0.44995978501224365,628
exchangeable_rare_noisy,40,mondrian,0.8988333333333334,1.799454848099199,0.900984875131903,1.6460823622874912,0.8598726114649682,4.57676680454993,0.04111226366693477,628
exchangeable_rare_noisy,40,max_slice,0.9925833333333334,4.576766804550246,0.9999120647203658,4.5767668045501555,0.8598726114649682,4.57676680454993,0.14003945325539757,628
exchangeable_rare_noisy,40,oracle_normalized,0.8985833333333333,1.810123901259037,0.8994020400984876,1.6386154809224782,0.8837579617834395,4.915846442767936,0.015644078315048104,628
exchangeable_rare_noisy,41,pooled,0.9039166666666667,1.788684318161922,0.9297368421052632,1.7886843181619039,0.41333333333333333,1.7886843181613858,0.5164035087719299,600
exchangeable_rare_noisy,41,pooled_95,0.9494166666666667,2.1944695117966204,0.9735964912280701,2.194469511796635,0.49,2.194469511797163,0.48359649122807014,600
exchangeable_rare_noisy,41,mondrian,0.9053333333333333,1.8171696767091474,0.9066666666666666,1.6650279794048453,0.88,4.7078619254908,0.026666666666666616,600
exchangeable_rare_noisy,41,max_slice,0.994,4.707861925490249,1,4.70786192549027,0.88,4.7078619254908,0.12,600
exchangeable_rare_noisy,41,oracle_normalized,0.90475,1.8249346529281976,0.9051754385964912,1.6590315026620135,0.8966666666666666,4.977094507984813,0.008508771929824577,600
exchangeable_rare_noisy,42,pooled,0.90625,1.8148727620867928,0.9308524676695699,1.8148727620868117,0.46445497630331756,1.8148727620873364,0.4663974913662523,633
exchangeable_rare_noisy,42,pooled_95,0.9560833333333333,2.2708359349478986,0.9789742236298056,2.2708359349478378,0.5450236966824644,2.270835934947192,0.43395052694734115,633
exchangeable_rare_noisy,42,mondrian,0.906,1.8273031915919264,0.9060438110319345,1.662088592862681,0.9052132701421801,4.794118900522487,0.0008305408897544275,633
exchangeable_rare_noisy,42,max_slice,0.995,4.794118900521822,1,4.794118900521844,0.9052132701421801,4.794118900522487,0.09478672985781988,633
exchangeable_rare_noisy,42,oracle_normalized,0.90625,1.8347036257960927,0.9053400193542711,1.659614315509634,0.9225908372827805,4.978842946528855,-0.017250817928509354,633
exchangeable_rare_noisy,43,pooled,0.8886666666666667,1.739733446412603,0.9114834634617072,1.7397334464126737,0.4559068219633943,1.7397334464126342,0.45557664149831284,601
exchangeable_rare_noisy,43,pooled_95,0.9491666666666667,2.1924344812032213,0.9696464602158084,2.192434481203221,0.5607321131447587,2.192434481203075,0.4089143470710497,601
exchangeable_rare_noisy,43,mondrian,0.88675,1.786651276052536,0.8871830862356347,1.626884081928758,0.8785357737104825,4.816911252453825,0.008647312525152162,601
